customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn,Churn_Probability,Predicted_Churn,Risk_Level
7590-VHVEG,1,29.85,29.85,0,0,2,0,0.57664615,1,Medium Risk
5575-GNVDE,34,56.95,1889.5,1,0,3,0,0.03627082,0,Low Risk
3668-QPYBK,2,53.85,108.15,0,0,3,1,0.5466727,1,Medium Risk
7795-CFOCW,45,42.3,1840.75,1,0,0,0,0.018817434,0,Low Risk
9237-HQITU,2,70.7,151.65,0,1,2,1,0.53478086,1,Medium Risk
9305-CDSKC,8,99.65,820.5,0,1,2,1,0.9389713,1,High Risk
1452-KIOVK,22,89.1,1949.4,0,1,1,0,0.29453233,0,Low Risk
6713-OKOMC,10,29.75,301.9,0,0,3,0,0.26416823,0,Low Risk
7892-POOKP,28,104.8,3046.05,0,1,2,1,0.7956569,1,High Risk
6388-TABGU,62,56.15,3487.95,1,0,0,0,0.006257926,0,Low Risk
9763-GRSKD,13,49.95,587.45,0,0,3,0,0.059311282,0,Low Risk
7469-LKBCI,16,18.95,326.8,2,2,1,0,0.0007430512,0,Low Risk
8091-TTVAX,58,100.35,5681.1,1,1,1,0,0.20925763,0,Low Risk
0280-XJGEX,49,103.7,5036.3,0,1,0,1,0.563589,1,Medium Risk
5129-JLPIS,25,105.5,2686.05,0,1,2,0,0.76417845,1,High Risk
3655-SNQYZ,69,113.25,7895.15,2,1,1,0,0.010511445,0,Low Risk
8191-XWSZG,52,20.65,1022.95,1,2,3,0,0.0009850088,0,Low Risk
9959-WOFKT,71,106.7,7382.25,2,1,0,0,0.14101037,0,Low Risk
4190-MFLUW,10,55.2,528.35,0,0,1,1,0.062813275,0,Low Risk
4183-MYFRB,21,90.05,1862.9,0,1,2,0,0.485487,0,Medium Risk
8779-QRDMV,1,39.65,39.65,0,0,2,1,0.86000735,1,High Risk
1680-VDCWW,12,19.8,202.25,1,2,0,0,0.1803092,0,Low Risk
1066-JKSGK,1,20.15,20.15,0,2,3,1,0.65605503,1,Medium Risk
3638-WEABW,58,59.9,3505.1,2,0,1,0,0.009280965,0,Low Risk
6322-HRPFA,49,59.6,2970.3,0,0,1,0,0.30707473,0,Low Risk
6865-JZNKO,30,55.3,1530.6,0,0,0,0,0.07974498,0,Low Risk
6467-CHFZW,47,99.35,4749.15,0,1,2,1,0.7396663,1,High Risk
8665-UTDHZ,1,30.2,30.2,0,0,2,1,0.57664615,1,Medium Risk
5248-YGIJN,72,90.25,6369.45,2,0,1,0,0.007747901,0,Low Risk
